"","World Ranking.x","School","US Ranking.x","Ranking.x","学校名称.x","City.x","Tuition.x","Enroll rate.x","SAT均分.x","ACT均分.x","Ranking.y","学校名称.y","City.y","Tuition.y","Enroll rate.y","SAT均分.y","ACT均分.y","World Ranking.y","US Ranking.y"
"1","1","Massachusetts Institute of Technology",1,3,"麻省理工学院","Cambridge, MA",2041-11-27,0.07,"1490-1570<U+00A0>","33-35",3,"麻省理工学院","Cambridge, MA",2041-11-27,0.07,"1490-1570<U+00A0>","33-35","1",1
"2","2","Stanford University",2,7,"斯坦福大学","Stanford, CA",2040-08-06,0.05,"1390-1540<U+00A0>","32-35",7,"斯坦福大学","Stanford, CA",2040-08-06,0.05,"1390-1540<U+00A0>","32-35","2",2
"3","3","Harvard University",3,2,"哈佛大学","Cambridge, MA",2038-01-15,0.05,"1460-1590<U+00A0>","32-35",2,"哈佛大学","Cambridge, MA",2038-01-15,0.05,"1460-1590<U+00A0>","32-35","3",3
"4","4","California Institute of Technology",4,12,"加州理工学院","Pasadena, CA",2043-05-11,0.08,"1530-1590<U+00A0>","34-35",12,"加州理工学院","Pasadena, CA",2043-05-11,0.08,"1530-1590<U+00A0>","34-35","4",4
"5","9","University of Chicago",5,3,"芝加哥大学","Chicago, IL",2056-01-27,0.09,"1480-1580<U+00A0>","32-35",3,"芝加哥大学","Chicago, IL",2056-01-27,0.09,"1480-1580<U+00A0>","32-35","9",5
"6","13","Princeton University",6,1,"普林斯顿大学","Princeton, NJ",2029-01-22,0.06,"1430-1570<U+00A0>","31-35",1,"普林斯顿大学","Princeton, NJ",2029-01-22,0.06,"1430-1570<U+00A0>","31-35","13",6
"7","14","Cornell University",7,16,"康奈尔大学","Ithaca, NY",2051-02-04,0.13,"1390-1550<U+00A0>","31-34",16,"康奈尔大学","Ithaca, NY",2051-02-04,0.13,"1390-1550<U+00A0>","31-34","14",7
"8","15","Yale University",8,3,"耶鲁大学","New Haven, CT",2046-04-13,0.07,"1420-1590<U+00A0>","32-35",3,"耶鲁大学","New Haven, CT",2046-04-13,0.07,"1420-1590<U+00A0>","32-35","15",8
"9","16","Columbia University",9,3,"哥伦比亚大学","New York, NY",2062-09-16,0.06,"1450-1580<U+00A0>","32-35",3,"哥伦比亚大学","New York, NY",2062-09-16,0.06,"1450-1580<U+00A0>","32-35","16",9
"10","19","University of Pennsylvania",10,8,"宾夕法尼亚大学","Philadelphia, PA",2052-03-06,0.09,"1420-1560<U+00A0>","32-35",8,"宾夕法尼亚大学","Philadelphia, PA",2052-03-06,0.09,"1420-1560<U+00A0>","32-35","19",10
