,School,news_USranking,news_worldranking,QS_worldranking,QS_USranking,ulow,uup,wlow,wup,times,ave_us,ave_world,US Index,Intl Index
1,Harvard University,2,1,3,3,1,0,1,0,1,1,1,2,1.666666667
2,Stanford University,7,3,2,2,2,0,2,0,1,2,2,3.666666667,
3,Massachusetts Institute of Technology,3,2,1,1,3,0,4,0,1,3,4,,
4,"University of California,<U+00A0>Berkeley",22,4,27,14,4,0,5,0,1,4,5,,
5,Princeton University,1,9,13,6,5,0,6,0,1,5,6,,
6,Columbia University,3,8,16,9,6,0,8,0,1,6,8,,
7,California Institute of Technology,12,6,4,4,7,0,9,0,1,7,9,,
8,University of Chicago,3,14,9,5,8,0,10,0,1,8,10,,
9,"University of California, Los Angeles",19,13,32,15,9,0,11,0,1,9,11,,
10,Cornell University,16,23,14,7,10,0,12,0,1,10,12,,
11,Yale University,3,11,15,8,10,0,12,0,1,10,12,,
12,University of Washington,59,10,66,23,12,0,14,0,1,12,14,,
13,"University of California, San Diego",41,17,41,17,13,0,15,0,1,13,15,,
14,University of Pennsylvania,8,16,19,10,14,0,16,0,1,14,16,,
15,Johns Hopkins University,10,12,21,12,15,0,18,0,1,15,18,,
16,Washington University in St. Louis,19,32,100,33,16,0,20,0,1,16,20,,
17,"University of California, San Francisco",NA,NA,NA,NA,17,0,21,0,1,17,21,,
18,Northwestern University,10,24,34,16,18,0,25,0,1,18,25,,
19,Duke University,8,22,26,13,19,0,26,0,1,19,26,,
20,University of Michigan-Ann Arbor,27,18,20,11,20,0,27,0,1,20,27,,
21,"University of Wisconsin, Madison",49,35,53,20,21,0,28,0,1,21,28,,
22,Rockefeller University,NA,NA,NA,NA,22,0,30,0,1,22,30,,
23,University of North Carolina at Chapel Hill,NA,NA,NA,NA,22,0,30,0,1,22,30,,
24,New York University,30,28,43,18,24,0,32,0,1,24,32,,
25,"University of Minnesota, Twin Cities",76,41,156,40,25,0,37,0,1,25,37,,
26,"University of Colorado, Boulder",96,43,190,46,26,0,38,0,1,26,38,,
27,"University of Texas, Austin",49,36,63,22,27,0,40,0,1,27,40,,
28,"University of Illinois, Urbana-Champaign",46,54,71,25,28,0,41,0,1,28,41,,
29,"University of California, Santa Barbara",30,37,132,36,29,0,46,0,1,29,46,,
30,The University of Texas Southwestern Medical Center at Dallas,NA,NA,NA,NA,30,0,48,0,1,30,48,,
31,Vanderbilt University,14,74,195,48,31,0,50,0,1,31,50,,
32,"University of Maryland, College Park",63,51,126,35,32,0,51,0,1,32,51,,
33,University of Southern California,22,62,115,34,33,0,60,0,1,33,60,,
34,Boston University,42,46,93,29,34,0,70,0,1,34,70,,
35,"Purdue University, West Lafayette",56,113,100,31,34,0,70,0,1,34,70,,
36,Rice University,16,107,87,27,34,0,70,0,1,34,70,,
